Tienda,Latitud,Longitud,Influencia
Alimentación houssine 24h,37.3851226,-5.9029623,1000
24 HORAS LA PAZ,37.3696502,-5.969901999999999,1000
Super Sur Supermercado (24 Horas fines de semana),37.4009878,-5.9931034,1000
miniMarket,37.3701221,-5.9468005,1000
24 HORAS CAPUCHINOS,37.398599,-5.981319699999999,1000
CASH LASAL,37.3771297,-5.9150152,1000
Alimentación la Chicota,37.378289,-5.9149591,1000
Mini Austin—24 horas,37.4031297,-5.991289699999999,1000
Alimentación Las tres niñas,37.3890042,-5.921113399999999,1000
TUSUPER24H,37.3741824,-5.9746332,1000
Tienda Supercor Stop & Go,37.3948719,-6.0025081,1000
Picoteo 24/7- Tienda vending 24h,37.412434,-5.972611,1000
Tienda Kiosko Toñi,37.3784112,-5.9176043,1000
Desavio Mari 24 horas,37.40693,-5.91547,1000
Tienda Supercor Stop & Go,37.40480580000001,-5.9557832,1000
Autoservicio Robles,37.3841352,-5.9078735,1000
Sin Tenedor 24 horas tiendas automáticas,37.3855254,-5.997858,1000
Supermercado Chino HongXing,37.3892798,-5.954184800000001,1000
Minimercado Oriente,37.3987773,-5.9715203,1000
Bazar Alimentación,37.3670595,-5.971901,1000
Tienda Alimentación Rocío,37.3795292,-5.918819,1000
Supermercado Loli,37.3730895,-5.9307127,1000
Bazar Li Supermercados,37.3842562,-5.9140035,1000
Autoservicio D&H,37.385448,-5.9039635,1000
Tienda China Taiyu,37.3881374,-5.9195848,1000
Lidl,37.37559,-5.911729999999999,1000
Tienda La Bodeguita,37.3664032,-5.9701826,1000
Ultramarinos,37.3758398,-5.940523,1000
Supermercado chino,37.3886,-5.9525768,1000
Alimentacion Bazar Aaron,37.3724156,-5.9304074,1000
Tienda Alimentacion Las niñas,37.3764659,-5.9409161,1000
Tienda Alimentación Luna,37.4106156,-5.9221977,1000
La Tienda,37.3972596,-5.924905499999999,1000
Tienda de alimentación, bazar y otros servicios informáticos Charaf & Samir,37.3723564,-5.952073100000001,1000
Japon Market 24h Sevilla,37.3923261,-6.0099094,1000
Alimentacion Y Bazar,37.4002195,-5.976524100000001,1000
Alimentación Bazar,37.374274,-5.9733025,1000
Supermercado CombiniMarket,37.381378,-5.962049599999999,1000
Tienda Punto K,37.3986324,-5.9725807,1000
Supermercado Asia África,37.3875303,-5.953411699999999,1000
Tienda Alimentacion Vilches,37.32888070000001,-5.852151000000001,1000
Bazar Alimentacion mini market,37.394036,-5.9959145,1000
